"Taxa","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Halorubrum sp. PV6",9,139,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halorubrum","sp. PV6"
"Halorubrum trapanicum",5,200,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Halorubrum","trapanicum"
"Salinigranum rubrum",12,275,"Archaea","Euryarchaeota","Halobacteria","Haloferacales","Halorubraceae","Salinigranum","rubrum"
"Halobiforma lacisalsi",8,195,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Halobiforma","lacisalsi"
"Halopiger xanaduensis",9,166,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Halopiger","xanaduensis"
"Halostagnicola larsenii",6,90,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Halostagnicola","larsenii"
"Haloterrigena daqingensis",7,127,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Haloterrigena","daqingensis"
"Haloterrigena longa",7,135,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Haloterrigena","longa"
"Haloterrigena salifodinae",8,208,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Haloterrigena","salifodinae"
"Haloterrigena sp. KZCA68",7,139,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Haloterrigena","sp. KZCA68"
"Haloterrigena sp. YPL8",11,197,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Haloterrigena","sp. YPL8"
"Haloterrigena turkmenica",10,266,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Haloterrigena","turkmenica"
"Halovivax ruber",4,56,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Halovivax","ruber"
"Halovivax sp. KZCA124",10,174,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Halovivax","sp. KZCA124"
